,slice_file_name,fsID,start,end,salience,fold,classID,class
0,100032-3-0-0.wav,100032,0,0.317551,1,5,3,dog_bark
1,100263-2-0-117.wav,100263,58.5,62.5,1,5,2,children_playing
2,100263-2-0-121.wav,100263,60.5,64.5,1,5,2,children_playing
3,100263-2-0-126.wav,100263,63,67,1,5,2,children_playing
4,100263-2-0-137.wav,100263,68.5,72.5,1,5,2,children_playing
5,100263-2-0-143.wav,100263,71.5,75.5,1,5,2,children_playing
6,100263-2-0-161.wav,100263,80.5,84.5,1,5,2,children_playing
7,100263-2-0-3.wav,100263,1.5,5.5,1,5,2,children_playing
8,100263-2-0-36.wav,100263,18,22,1,5,2,children_playing
9,100648-1-0-0.wav,100648,4.823402,5.471927,2,10,1,car_horn
10,100648-1-1-0.wav,100648,8.998279,10.052132,2,10,1,car_horn
11,100648-1-2-0.wav,100648,16.699509,17.104837,2,10,1,car_horn
12,100648-1-3-0.wav,100648,17.631764,19.253075,2,10,1,car_horn
13,100648-1-4-0.wav,100648,25.332994,27.197502,2,10,1,car_horn
14,100652-3-0-0.wav,100652,0,4,1,2,3,dog_bark
15,100652-3-0-1.wav,100652,0.5,4.5,1,2,3,dog_bark
16,100652-3-0-2.wav,100652,1,5,1,2,3,dog_bark
17,100652-3-0-3.wav,100652,1.5,5.5,1,2,3,dog_bark
18,100795-3-0-0.wav,100795,0.19179,4.19179,1,10,3,dog_bark
19,100795-3-1-0.wav,100795,13.059155,17.059155,1,10,3,dog_bark
20,100795-3-1-1.wav,100795,13.559155,17.559155,1,10,3,dog_bark
21,100795-3-1-2.wav,100795,14.059155,18.059155,1,10,3,dog_bark
22,100852-0-0-0.wav,100852,0,4,1,5,0,air_conditioner
23,100852-0-0-1.wav,100852,0.5,4.5,1,5,0,air_conditioner
24,100852-0-0-10.wav,100852,5,9,1,5,0,air_conditioner
25,100852-0-0-11.wav,100852,5.5,9.5,1,5,0,air_conditioner
26,100852-0-0-12.wav,100852,6,10,1,5,0,air_conditioner
27,100852-0-0-13.wav,100852,6.5,10.5,1,5,0,air_conditioner
28,100852-0-0-14.wav,100852,7,11,1,5,0,air_conditioner
29,100852-0-0-15.wav,100852,7.5,11.5,1,5,0,air_conditioner
30,100852-0-0-16.wav,100852,8,12,1,5,0,air_conditioner
31,100852-0-0-17.wav,100852,8.5,12.5,1,5,0,air_conditioner
32,100852-0-0-18.wav,100852,9,13,1,5,0,air_conditioner
33,100852-0-0-19.wav,100852,9.5,13.5,1,5,0,air_conditioner
34,100852-0-0-2.wav,100852,1,5,1,5,0,air_conditioner
35,100852-0-0-20.wav,100852,10,14,1,5,0,air_conditioner
36,100852-0-0-21.wav,100852,10.5,14.5,1,5,0,air_conditioner
37,100852-0-0-22.wav,100852,11,15,1,5,0,air_conditioner
38,100852-0-0-23.wav,100852,11.5,15.5,1,5,0,air_conditioner
39,100852-0-0-24.wav,100852,12,16,1,5,0,air_conditioner
40,100852-0-0-25.wav,100852,12.5,16.5,1,5,0,air_conditioner
41,100852-0-0-26.wav,100852,13,17,1,5,0,air_conditioner
42,100852-0-0-27.wav,100852,13.5,17.5,1,5,0,air_conditioner
43,100852-0-0-28.wav,100852,14,18,1,5,0,air_conditioner
44,100852-0-0-29.wav,100852,14.5,18.5,1,5,0,air_conditioner
45,100852-0-0-3.wav,100852,1.5,5.5,1,5,0,air_conditioner
46,100852-0-0-30.wav,100852,15,19,1,5,0,air_conditioner
47,100852-0-0-4.wav,100852,2,6,1,5,0,air_conditioner
48,100852-0-0-5.wav,100852,2.5,6.5,1,5,0,air_conditioner
49,100852-0-0-6.wav,100852,3,7,1,5,0,air_conditioner
50,100852-0-0-7.wav,100852,3.5,7.5,1,5,0,air_conditioner
51,100852-0-0-8.wav,100852,4,8,1,5,0,air_conditioner
52,100852-0-0-9.wav,100852,4.5,8.5,1,5,0,air_conditioner
53,101281-3-0-0.wav,101281,0.341333,4.341333,2,6,3,dog_bark
54,101281-3-0-14.wav,101281,7.341333,11.341333,2,6,3,dog_bark
55,101281-3-0-5.wav,101281,2.841333,6.841333,2,6,3,dog_bark
56,101382-2-0-10.wav,101382,5,9,1,10,2,children_playing
57,101382-2-0-12.wav,101382,6,10,1,10,2,children_playing
58,101382-2-0-20.wav,101382,10,14,1,10,2,children_playing
59,101382-2-0-21.wav,101382,10.5,14.5,1,10,2,children_playing
60,101382-2-0-29.wav,101382,14.5,18.5,1,10,2,children_playing
61,101382-2-0-33.wav,101382,16.5,20.5,1,10,2,children_playing
62,101382-2-0-42.wav,101382,21,25,1,10,2,children_playing
63,101382-2-0-45.wav,101382,22.5,26.5,1,10,2,children_playing
64,101415-3-0-2.wav,101415,1,5,1,1,3,dog_bark
65,101415-3-0-3.wav,101415,1.5,5.5,1,1,3,dog_bark
66,101415-3-0-8.wav,101415,4,8,1,1,3,dog_bark
67,101729-0-0-1.wav,101729,0.5,4.5,2,9,0,air_conditioner
68,101729-0-0-11.wav,101729,5.5,9.5,2,9,0,air_conditioner
69,101729-0-0-12.wav,101729,6,10,2,9,0,air_conditioner
70,101729-0-0-13.wav,101729,6.5,10.5,2,9,0,air_conditioner
71,101729-0-0-14.wav,101729,7,11,2,9,0,air_conditioner
72,101729-0-0-16.wav,101729,8,12,2,9,0,air_conditioner
73,101729-0-0-17.wav,101729,8.5,12.5,2,9,0,air_conditioner
74,101729-0-0-18.wav,101729,9,13,2,9,0,air_conditioner
75,101729-0-0-19.wav,101729,9.5,13.5,2,9,0,air_conditioner
76,101729-0-0-21.wav,101729,10.5,14.5,2,9,0,air_conditioner
77,101729-0-0-22.wav,101729,11,15,2,9,0,air_conditioner
78,101729-0-0-23.wav,101729,11.5,15.5,2,9,0,air_conditioner
79,101729-0-0-24.wav,101729,12,16,2,9,0,air_conditioner
80,101729-0-0-26.wav,101729,13,17,2,9,0,air_conditioner
81,101729-0-0-28.wav,101729,14,18,2,9,0,air_conditioner
82,101729-0-0-29.wav,101729,14.5,18.5,2,9,0,air_conditioner
83,101729-0-0-3.wav,101729,1.5,5.5,2,9,0,air_conditioner
84,101729-0-0-32.wav,101729,16,20,2,9,0,air_conditioner
85,101729-0-0-33.wav,101729,16.5,20.5,2,9,0,air_conditioner
86,101729-0-0-36.wav,101729,18,22,2,9,0,air_conditioner
87,101729-0-0-37.wav,101729,18.5,22.5,2,9,0,air_conditioner
88,101729-0-0-38.wav,101729,19,23,2,9,0,air_conditioner
89,101729-0-0-39.wav,101729,19.5,23.5,2,9,0,air_conditioner
90,101729-0-0-4.wav,101729,2,6,2,9,0,air_conditioner
91,101729-0-0-40.wav,101729,20,24,2,9,0,air_conditioner
92,101729-0-0-6.wav,101729,3,7,2,9,0,air_conditioner
93,101729-0-0-9.wav,101729,4.5,8.5,2,9,0,air_conditioner
94,101848-9-0-0.wav,101848,0,4,1,7,9,street_music
95,101848-9-0-1.wav,101848,0.5,4.5,1,7,9,street_music
96,101848-9-0-2.wav,101848,1,5,1,7,9,street_music
97,101848-9-0-3.wav,101848,1.5,5.5,1,7,9,street_music
98,101848-9-0-8.wav,101848,4,8,1,7,9,street_music
99,101848-9-0-9.wav,101848,4.5,8.5,1,7,9,street_music
100,102102-3-0-0.wav,102102,1.573952,4.673824,2,4,3,dog_bark
101,102103-3-0-0.wav,102103,1.97603,2.508892,2,10,3,dog_bark
102,102103-3-1-0.wav,102103,4.179637,4.568182,2,10,3,dog_bark
103,102104-3-0-0.wav,102104,2.429279,3.241121,2,2,3,dog_bark
104,102105-3-0-0.wav,102105,2.041889,6.041889,2,3,3,dog_bark
105,102106-3-0-0.wav,102106,2.243852,3.884477,2,1,3,dog_bark
106,102305-6-0-0.wav,102305,0,2.61161,1,1,6,gun_shot
107,102547-3-0-2.wav,102547,1,5,1,5,3,dog_bark
108,102547-3-0-7.wav,102547,3.5,7.5,1,5,3,dog_bark
109,102547-3-0-8.wav,102547,4,8,1,5,3,dog_bark
110,102842-3-0-1.wav,102842,0.5,4.5,2,1,3,dog_bark
111,102842-3-1-0.wav,102842,113.061785,117.061785,2,1,3,dog_bark
112,102842-3-1-5.wav,102842,115.561785,119.561785,2,1,3,dog_bark
113,102842-3-1-6.wav,102842,116.061785,120.061785,2,1,3,dog_bark
114,102853-8-0-0.wav,102853,0,4,2,7,8,siren
115,102853-8-0-1.wav,102853,0.5,4.5,2,7,8,siren
116,102853-8-0-2.wav,102853,1,5,2,7,8,siren
117,102853-8-0-3.wav,102853,1.5,5.5,2,7,8,siren
118,102853-8-0-4.wav,102853,2,6,2,7,8,siren
119,102853-8-0-5.wav,102853,2.5,6.5,2,7,8,siren
120,102853-8-0-6.wav,102853,3,7,2,7,8,siren
121,102853-8-1-0.wav,102853,27.214044,31.214044,2,7,8,siren
122,102857-5-0-0.wav,102857,0,4,1,10,5,engine_idling
123,102857-5-0-1.wav,102857,0.5,4.5,1,10,5,engine_idling
124,102857-5-0-10.wav,102857,5,9,1,10,5,engine_idling
125,102857-5-0-11.wav,102857,5.5,9.5,1,10,5,engine_idling
126,102857-5-0-12.wav,102857,6,10,1,10,5,engine_idling
127,102857-5-0-13.wav,102857,6.5,10.5,1,10,5,engine_idling
128,102857-5-0-14.wav,102857,7,11,1,10,5,engine_idling
129,102857-5-0-15.wav,102857,7.5,11.5,1,10,5,engine_idling
130,102857-5-0-16.wav,102857,8,12,1,10,5,engine_idling
131,102857-5-0-17.wav,102857,8.5,12.5,1,10,5,engine_idling
132,102857-5-0-18.wav,102857,9,13,1,10,5,engine_idling
133,102857-5-0-19.wav,102857,9.5,13.5,1,10,5,engine_idling
134,102857-5-0-2.wav,102857,1,5,1,10,5,engine_idling
135,102857-5-0-20.wav,102857,10,14,1,10,5,engine_idling
136,102857-5-0-21.wav,102857,10.5,14.5,1,10,5,engine_idling
137,102857-5-0-22.wav,102857,11,15,1,10,5,engine_idling
138,102857-5-0-23.wav,102857,11.5,15.5,1,10,5,engine_idling
139,102857-5-0-24.wav,102857,12,16,1,10,5,engine_idling
140,102857-5-0-25.wav,102857,12.5,16.5,1,10,5,engine_idling
141,102857-5-0-26.wav,102857,13,17,1,10,5,engine_idling
142,102857-5-0-27.wav,102857,13.5,17.5,1,10,5,engine_idling
143,102857-5-0-28.wav,102857,14,18,1,10,5,engine_idling
144,102857-5-0-29.wav,102857,14.5,18.5,1,10,5,engine_idling
145,102857-5-0-3.wav,102857,1.5,5.5,1,10,5,engine_idling
146,102857-5-0-30.wav,102857,15,19,1,10,5,engine_idling
147,102857-5-0-4.wav,102857,2,6,1,10,5,engine_idling
148,102857-5-0-5.wav,102857,2.5,6.5,1,10,5,engine_idling
149,102857-5-0-6.wav,102857,3,7,1,10,5,engine_idling
150,102857-5-0-7.wav,102857,3.5,7.5,1,10,5,engine_idling
151,102857-5-0-8.wav,102857,4,8,1,10,5,engine_idling
152,102857-5-0-9.wav,102857,4.5,8.5,1,10,5,engine_idling
153,102858-5-0-0.wav,102858,0,4,1,2,5,engine_idling
154,102858-5-0-1.wav,102858,0.5,4.5,1,2,5,engine_idling
155,102871-8-0-0.wav,102871,0,4,1,2,8,siren
156,102871-8-0-1.wav,102871,0.5,4.5,1,2,8,siren
157,102871-8-0-10.wav,102871,5,9,1,2,8,siren
158,102871-8-0-11.wav,102871,5.5,9.5,1,2,8,siren
159,102871-8-0-12.wav,102871,6,10,1,2,8,siren
160,102871-8-0-13.wav,102871,6.5,10.5,1,2,8,siren
161,102871-8-0-14.wav,102871,7,11,1,2,8,siren
162,102871-8-0-15.wav,102871,7.5,11.5,1,2,8,siren
163,102871-8-0-2.wav,102871,1,5,1,2,8,siren
164,102871-8-0-3.wav,102871,1.5,5.5,1,2,8,siren
165,102871-8-0-4.wav,102871,2,6,1,2,8,siren
